EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-28 16:00:00-05:00,8.17,,
2025-10-29 16:00:00-04:00,6.67,7.25,8.66
2025-07-30 16:00:00-04:00,5.9,7.14,20.96
2025-04-30 16:00:00-04:00,5.21,6.43,23.53
2025-01-29 16:00:00-05:00,6.74,8.02,19.0
2024-10-30 16:00:00-04:00,5.3,6.03,13.86
2024-07-31 16:00:00-04:00,4.78,5.16,7.9
2024-04-24 16:00:00-04:00,4.36,4.71,8.11
2024-02-01 16:00:00-05:00,4.94,5.33,7.88
2023-10-25 16:00:00-04:00,3.6,4.39,21.96
2023-07-26 16:00:00-04:00,2.91,2.98,2.51
2023-04-26 16:00:00-04:00,1.98,2.2,11.2
2023-02-01 16:00:00-05:00,2.23,1.76,-21.14
2022-10-26 16:00:00-04:00,1.85,1.64,-11.32
2022-07-27 16:00:00-04:00,2.55,2.46,-3.56
2022-04-27 16:00:00-04:00,2.53,2.72,7.57
2022-02-02 16:00:00-05:00,3.83,3.67,-4.06
2021-10-25 16:00:00-04:00,3.17,3.22,1.52
2021-07-28 16:00:00-04:00,3.01,3.61,20.04
2021-04-28 16:00:00-04:00,2.35,3.3,40.65
2021-01-27 16:00:00-05:00,3.24,3.88,19.91
2020-10-29 16:00:00-04:00,1.91,2.4,25.57
2020-07-30 16:00:00-04:00,1.4,1.8,28.88
2020-04-29 17:00:00-04:00,1.7,1.71,0.38
2020-01-29 16:00:00-05:00,2.57,2.56,-0.34
2019-10-30 16:00:00-04:00,1.88,2.12,12.86
2019-07-24 16:00:00-04:00,1.88,1.99,6.13
2019-04-24 16:00:00-04:00,1.6,1.89,18.21
2019-01-30 16:00:00-05:00,2.18,2.38,9.35
2018-10-30 16:00:00-04:00,1.45,1.76,21.14
2018-07-25 16:00:00-04:00,1.7,1.74,2.56
2018-04-25 16:00:00-04:00,1.34,1.69,25.67
2018-01-31 16:00:00-05:00,1.94,1.44,-25.79
2017-11-01 16:00:00-04:00,1.28,1.59,24.22
2017-07-26 16:00:00-04:00,1.12,1.32,17.76
2017-05-04 16:00:00-04:00,1.12,1.36,21.35
2017-02-01 16:00:00-05:00,1.31,1.41,7.41
2016-11-02 16:00:00-04:00,0.97,1.09,12.79
2016-07-27 16:00:00-04:00,0.57,0.71,25.23
2016-04-27 16:00:00-04:00,0.4,0.52,29.18
2016-01-27 16:00:00-05:00,0.42,0.54,27.56
2015-11-04 16:00:00-05:00,0.52,0.57,9.63
2015-07-29 16:00:00-04:00,0.47,0.5,6.23
2015-04-22 16:00:00-04:00,0.4,0.42,3.79
2015-01-28 16:00:00-05:00,0.49,0.54,11.0
2014-10-28 16:00:00-04:00,0.31,0.3,-3.1
2014-07-23 16:00:00-04:00,0.32,0.42,30.5
2014-04-23 16:00:00-04:00,0.24,0.34,42.89
2014-01-29 16:00:00-05:00,0.27,0.31,15.1
2013-10-30 16:00:00-04:00,0.19,0.25,34.6
