EarningsDate,EPS Estimate,Reported EPS,Surprise(%)
2026-01-29 08:00:00-05:00,1.36,,
2025-11-04 07:00:00-05:00,1.25,1.51,21.22
2025-08-05 07:00:00-04:00,3.5,3.55,1.48
2025-05-01 07:00:00-04:00,2.41,2.44,1.17
2025-01-31 07:00:00-05:00,1.49,1.56,4.89
2024-11-05 07:00:00-05:00,0.97,1.0,3.04
2024-08-06 07:00:00-04:00,3.49,3.5,0.35
2024-05-08 07:00:00-04:00,2.24,2.23,-0.24
2024-02-01 08:00:00-05:00,0.89,0.92,3.18
2023-11-02 07:00:00-04:00,0.97,1.09,12.95
2023-08-08 07:00:00-04:00,3.1,3.21,3.44
2023-05-02 07:00:00-04:00,2.03,2.05,1.05
2023-02-02 07:00:00-05:00,0.9,0.91,1.0
2022-11-02 07:00:00-04:00,0.88,0.84,-4.03
2022-08-12 07:00:00-04:00,2.62,2.65,1.08
2022-05-03 07:00:00-04:00,1.78,1.93,8.27
2022-02-01 07:00:00-05:00,0.82,0.82,-0.47
2021-11-03 07:00:00-04:00,0.97,1.07,9.92
2021-08-12 07:00:00-04:00,2.19,2.19,-0.15
2021-05-04 07:00:00-04:00,1.68,1.76,4.85
2021-02-02 07:00:00-05:00,0.69,0.73,5.12
2020-10-30 07:00:00-04:00,0.63,0.98,55.42
2020-08-11 07:00:00-04:00,2.09,2.15,2.83
2020-05-08 08:00:00-04:00,1.7,1.67,-1.56
2020-01-31 07:00:00-05:00,0.71,0.53,-25.7
2019-11-06 07:00:00-05:00,0.7,0.68,-2.4
2019-08-01 07:00:00-04:00,1.71,1.72,0.54
2019-05-07 07:00:00-04:00,1.49,1.59,6.43
2019-02-07 07:00:00-05:00,0.71,0.56,-21.05
2018-11-06 07:00:00-05:00,0.68,0.79,16.79
2018-08-07 07:00:00-04:00,1.87,1.86,-0.34
2018-05-08 07:00:00-04:00,0.79,1.0,26.4
2018-02-08 07:00:00-05:00,0.55,0.79,43.12
2017-11-08 07:00:00-05:00,0.42,0.54,28.37
2017-08-10 07:00:00-04:00,1.7,1.71,0.43
2017-05-10 07:00:00-04:00,0.62,0.69,10.64
2017-02-08 18:00:00-05:00,0.38,0.39,2.95
2016-11-09 07:00:00-05:00,0.37,0.36,-3.58
2016-08-09 07:00:00-04:00,1.45,1.45,0.03
2016-05-05 07:00:00-04:00,0.51,0.58,13.3
2016-02-04 06:00:00-05:00,0.33,0.38,14.1
2015-11-05 06:00:00-05:00,0.27,0.33,21.81
2015-08-07 07:00:00-04:00,1.38,1.4,1.24
2015-05-08 07:00:00-04:00,0.52,0.47,-9.46
2015-02-05 07:00:00-05:00,0.29,0.32,8.84
2014-11-06 07:00:00-05:00,0.28,0.3,7.14
2014-08-07 07:00:00-04:00,1.16,1.17,0.67
2014-05-09 07:00:00-04:00,0.4,0.44,11.39
2014-02-06 07:00:00-05:00,0.26,0.25,-3.55
2013-11-07 07:00:00-05:00,0.2,0.39,98.98
